0,0,128,54,105,60,60,469,496
0,0,130,170,103,60,60,469,496
0,0,132,555,555,60,60,470,496
0,0,134,555,555,60,60,469,496
0,0,135,169,555,60,60,469,496
0,0,137,169,97,60,60,498,500
0,0,139,169,104,60,60,469,496
0,0,140,170,103,60,60,469,496
0,0,142,169,105,60,60,469,496
0,0,144,170,103,60,60,469,497
0,0,145,169,104,60,60,469,496
0,0,147,169,104,60,60,469,496
0,0,149,169,105,60,60,469,497
0,0,150,169,104,60,60,498,498
0,0,152,168,80,60,60,469,496
0,0,154,170,104,60,60,469,496
0,0,156,169,96,60,60,469,498
0,0,157,168,95,60,60,469,496
0,0,159,169,102,60,60,469,496
0,0,160,102,108,60,60,468,496
0,0,160,169,77,60,60,467,514
0,0,160,96,78,60,60,469,496
0,0,160,169,105,60,60,469,496
0,0,160,103,107,60,60,469,496
0,0,160,170,78,60,60,473,504
0,0,160,102,93,60,60,469,496
0,0,160,170,79,60,60,472,511
0,0,160,168,79,60,60,469,496
0,0,160,170,96,60,60,466,514
0,0,160,169,106,60,60,469,496
0,0,160,170,79,60,60,469,496
0,0,160,169,105,60,60,469,496
0,0,160,170,104,60,60,470,513
0,0,160,169,103,60,60,469,496
1,0,160,170,103,60,60,473,506
2,2,160,168,95,60,60,469,496
8,9,159,164,108,60,60,473,507
11,11,159,132,104,60,60,469,496
13,13,159,152,89,60,60,470,496
14,15,159,144,82,60,60,469,496
16,16,159,137,145,60,60,473,507
16,16,158,128,135,60,60,469,496
17,17,158,120,140,60,60,469,498
18,18,158,111,55,60,60,488,505
19,19,159,102,158,60,60,469,496
16,17,159,93,64,60,60,470,496
7,6,160,90,170,60,60,470,496
-1,2,157,91,67,60,60,469,496
-11,13,127,109,184,49,60,471,504
-14,15,79,102,95,60,60,469,497
-4,4,70,99,67,60,60,469,496
0,0,70,99,96,60,60,494,502
1,1,70,100,68,60,60,469,496
17,16,70,85,71,60,60,452,483
19,20,67,84,83,60,60,468,496
18,21,63,69,91,60,60,471,512
17,10,61,63,103,60,60,469,496
16,8,69,55,60,60,60,471,496
17,14,73,60,67,60,60,469,496
16,16,75,49,77,60,60,469,496
17,16,76,45,84,60,60,471,495
16,15,76,32,92,60,60,469,496
5,6,75,45,95,60,60,469,496
0,1,75,46,94,60,60,469,496
2,-2,78,29,88,60,60,468,496
7,-4,94,38,188,35,46,469,496
11,-5,116,50,138,24,60,458,475
9,-7,139,63,183,60,60,469,496
2,-2,147,70,183,60,60,471,495
1,-1,149,47,184,60,60,469,496
4,-4,162,78,78,60,60,472,493
0,-1,163,78,78,60,60,469,496
2,2,163,78,78,60,60,469,496
6,5,164,76,84,60,60,469,496
11,10,167,87,75,60,60,469,496
13,11,169,80,55,60,60,469,496
13,11,172,75,87,60,60,471,496
12,11,174,69,81,60,60,469,496
6,10,175,65,59,60,60,469,496
4,9,169,61,98,60,60,469,497
6,7,167,58,68,60,60,469,496
0,0,168,58,68,60,60,468,496
0,0,168,58,116,60,60,443,496
0,0,168,58,68,60,60,434,502
0,0,168,58,116,60,60,406,496
0,0,168,58,68,60,60,406,496
0,0,168,58,71,60,60,406,496
0,0,168,58,71,60,60,406,496
0,0,168,58,73,60,60,406,498
3,3,168,56,96,60,60,406,497
6,7,167,54,104,60,60,406,496
0,0,167,53,108,60,60,406,496
1,0,167,53,98,60,60,406,496
9,10,167,49,115,60,60,406,496
16,16,166,41,83,60,60,406,497
21,21,165,32,95,60,60,431,486
16,17,164,30,73,60,60,406,496
2,3,164,26,98,60,60,426,505
4,3,165,41,76,60,60,405,497
6,6,165,36,74,60,60,406,496
1,0,165,35,64,60,60,415,475
0,0,165,35,73,60,60,406,496
0,0,165,35,72,60,60,417,493
0,0,165,35,73,60,60,443,496
0,0,165,35,73,60,60,442,496
3,-2,174,31,71,60,60,445,474
1,0,175,31,60,60,60,442,496
0,0,175,32,59,60,60,445,507
0,0,175,32,61,60,60,442,496
-3,2,170,35,82,60,29,432,491
-9,11,140,46,243,37,60,449,510
-2,0,139,45,122,45,60,441,496
0,0,139,46,246,39,60,448,510
0,0,139,45,122,43,60,472,486
0,0,139,45,242,55,60,440,513
5,-6,151,61,69,60,60,446,471
14,-15,-164,31,43,60,60,442,497
3,-6,-149,54,56,52,60,442,497
0,0,-148,54,61,60,60,450,496
0,0,-148,54,57,60,60,454,496
1,-1,-147,53,56,60,60,454,496
10,-9,-120,158,14,60,60,455,495
4,-6,-106,190,25,60,60,454,496
9,6,-106,154,44,60,60,453,497
18,16,-103,140,24,60,60,454,496
15,14,-102,133,37,60,60,454,496
14,13,-100,156,34,60,60,454,496
0,0,-100,127,34,60,60,454,497
1,2,-101,127,36,60,60,444,500
13,13,-100,118,42,60,60,454,497
2,3,-100,118,41,60,60,465,506
-3,3,-105,119,48,60,60,454,496
-8,7,-129,87,44,60,60,454,496
